a,b,aw,bw,dr
Awakened Shrub,Badger,9,0,0
Awakened Shrub,Bat,9,0,0
Awakened Shrub,Crawling Claw,7,2,0
Awakened Shrub,Baboon,9,0,0
Awakened Shrub,Cat,9,0,0
Awakened Shrub,Crab,8,1,0
Awakened Shrub,Commoner,8,1,0
Awakened Shrub,Deer,9,0,0
Awakened Shrub,Frog,9,0,0
Awakened Shrub,Homunculus,9,0,0
Awakened Shrub,Giant Fire Beetle,3,6,0
Awakened Shrub,Eagle,4,5,0
Awakened Shrub,Goat,5,4,0
Awakened Shrub,Hawk,8,1,0
Baboon,Badger,5,4,0
Baboon,Bat,7,2,0
Awakened Shrub,Jackal,9,0,0
Awakened Shrub,Hyena,9,0,0
Baboon,Cat,6,3,0
Baboon,Crab,7,2,0
Baboon,Crawling Claw,4,5,0
Baboon,Commoner,3,6,0
Baboon,Frog,9,0,0
Baboon,Goat,2,7,0
Baboon,Deer,3,6,0
Baboon,Hawk,5,4,0
Baboon,Giant Fire Beetle,4,5,0
Baboon,Eagle,2,7,0
Baboon,Homunculus,1,8,0
Baboon,Hyena,1,8,0
Baboon,Lemure,1,8,0
Badger,Bat,7,2,0
Badger,Crab,7,2,0
Badger,Commoner,1,8,0
Badger,Cat,7,2,0
Badger,Crawling Claw,2,7,0
Badger,Frog,9,0,0
Baboon,Jackal,5,4,0
Badger,Goat,1,8,0
Badger,Giant Fire Beetle,1,8,0
Badger,Eagle,1,8,0
Badger,Deer,2,7,0
Badger,Hawk,6,3,0
Badger,Hyena,0,9,0
Badger,Lemure,0,9,0
Badger,Homunculus,0,9,0
Bat,Commoner,4,5,0
Badger,Lizard,7,2,0
Badger,Jackal,4,5,0
Bat,Crab,7,2,0
Bat,Cat,5,4,0
Bat,Frog,9,0,0
Bat,Crawling Claw,3,6,0
Bat,Deer,2,7,0
Bat,Giant Fire Beetle,1,8,0
Bat,Eagle,2,7,0
Bat,Goat,2,7,0
Bat,Hyena,0,9,0
Bat,Hawk,3,6,0
Bat,Homunculus,0,9,0
Bat,Lizard,7,2,0
Bat,Lemure,0,9,0
Bat,Myconid Sprout,0,9,0
Bat,Jackal,3,6,0
Cat,Commoner,4,5,0
Cat,Crab,7,2,0
Cat,Crawling Claw,3,6,0
Cat,Eagle,2,7,0
Cat,Frog,9,0,0
Cat,Giant Fire Beetle,2,7,0
Cat,Deer,2,7,0
Cat,Goat,2,7,0
Cat,Hawk,3,6,0
Cat,Hyena,0,9,0
Cat,Homunculus,0,9,0
Cat,Lemure,0,9,0
Cat,Jackal,3,6,0
Commoner,Crab,8,1,0
Cat,Lizard,6,3,0
Cat,Myconid Sprout,0,9,0
Commoner,Crawling Claw,5,4,0
Commoner,Frog,9,0,0
Commoner,Giant Fire Beetle,6,3,0
Commoner,Deer,5,4,0
Cat,Octopus,4,5,0
Commoner,Eagle,4,5,0
Commoner,Goat,4,5,0
Commoner,Hawk,7,2,0
Commoner,Homunculus,2,7,0
Commoner,Lizard,8,1,0
Commoner,Lemure,1,8,0
Commoner,Hyena,4,5,0
Commoner,Jackal,6,3,0
Commoner,Myconid Sprout,2,7,0
Commoner,Octopus,6,3,0
Commoner,Owl,8,1,0
Crab,Crawling Claw,2,7,0
Crab,Eagle,0,9,0
Crab,Frog,9,0,0
Crab,Goat,1,8,0
Crab,Giant Fire Beetle,1,8,0
Crab,Homunculus,0,9,0
Crab,Deer,2,7,0
Crab,Lemure,0,9,0
Crab,Jackal,2,7,0
Crab,Hawk,3,6,0
Crab,Hyena,0,9,0
Crab,Myconid Sprout,0,9,0
Crab,Lizard,4,5,0
Crab,Quipper,2,7,0
Crab,Octopus,2,7,0
Crawling Claw,Deer,2,7,0
Crawling Claw,Frog,9,0,0
Crab,Owl,4,5,0
Crawling Claw,Eagle,0,9,0
Crawling Claw,Giant Fire Beetle,2,7,0
Crawling Claw,Goat,2,7,0
Crawling Claw,Homunculus,5,4,0
Crawling Claw,Hawk,6,3,0
Crawling Claw,Hyena,2,7,0
Crawling Claw,Lizard,7,2,0
Crawling Claw,Lemure,1,8,0
Crawling Claw,Jackal,1,8,0
Crawling Claw,Myconid Sprout,6,3,0
Crawling Claw,Octopus,5,4,0
Crawling Claw,Rat,8,1,0
Crawling Claw,Owl,6,3,0
Crawling Claw,Quipper,5,4,0
Deer,Giant Fire Beetle,6,3,0
Deer,Goat,6,3,0
Deer,Eagle,4,5,0
Deer,Hawk,8,1,0
Deer,Frog,9,0,0
Deer,Homunculus,5,4,0
Deer,Hyena,4,5,0
Deer,Jackal,7,2,0
Deer,Lemure,2,7,0
Deer,Lizard,8,1,0
Deer,Myconid Sprout,2,7,0
Deer,Owl,8,1,0
Deer,Octopus,7,2,0
Deer,Quipper,8,1,0
Deer,Rat,9,0,0
Deer,Raven,8,1,0
Eagle,Frog,9,0,0
Eagle,Giant Fire Beetle,5,4,0
Eagle,Hawk,8,1,0
Eagle,Goat,6,3,0
Eagle,Homunculus,7,2,0
Eagle,Hyena,8,1,0
Eagle,Lemure,5,4,0
Eagle,Lizard,9,0,0
Eagle,Jackal,9,0,0
Eagle,Myconid Sprout,4,5,0
Eagle,Owl,9,0,0
Frog,Giant Fire Beetle,0,9,0
Eagle,Quipper,9,0,0
Eagle,Rat,9,0,0
Frog,Goat,0,9,0
Eagle,Octopus,8,1,0
Eagle,Raven,9,0,0
Eagle,Scorpion,9,0,0
Frog,Homunculus,0,9,0
Frog,Hawk,0,9,0
Frog,Hyena,0,9,0
Frog,Lemure,0,9,0
Frog,Lizard,0,9,0
Frog,Octopus,0,9,0
Frog,Jackal,0,9,0
Frog,Myconid Sprout,0,9,0
Frog,Rat,0,9,0
Frog,Quipper,0,9,0
Frog,Owl,0,9,0
Frog,Raven,0,9,0
Giant Fire Beetle,Goat,6,3,0
Frog,Scorpion,0,9,0
Giant Fire Beetle,Hyena,6,3,0
Giant Fire Beetle,Homunculus,4,5,0
Giant Fire Beetle,Lemure,3,6,0
Frog,Sea Horse,7,2,0
Giant Fire Beetle,Hawk,9,0,0
Giant Fire Beetle,Lizard,8,1,0
Giant Fire Beetle,Myconid Sprout,4,5,0
Giant Fire Beetle,Rat,8,1,0
Giant Fire Beetle,Quipper,8,1,0
Giant Fire Beetle,Jackal,8,1,0
Giant Fire Beetle,Octopus,7,2,0
Giant Fire Beetle,Scorpion,8,1,0
Giant Fire Beetle,Owl,8,1,0
Giant Fire Beetle,Raven,8,1,0
Giant Fire Beetle,Sea Horse,9,0,0
Giant Fire Beetle,Shrieker,9,0,0
Goat,Homunculus,5,4,0
Goat,Hawk,9,0,0
Goat,Lemure,4,5,0
Goat,Lizard,9,0,0
